title,year,doi,openalex_id,cited_by,is_oa,pdf_url,landing_url,venue
"Genesis, challenges and opportunities for colloidal lead halide perovskite nanocrystals",2018,10.1038/s41563-018-0018-4,https://openalex.org/W2794107391,2263,True,https://www.dora.lib4ri.ch/empa/dload/empa:16545/PDF2/view,https://www.dora.lib4ri.ch/empa/islandora/object/empa%3A16545,Nature Materials
One-Year stable perovskite solar cells by 2D/3D interface engineering,2017,10.1038/ncomms15684,https://openalex.org/W2621222172,2056,True,https://www.nature.com/articles/ncomms15684.pdf,https://doi.org/10.1038/ncomms15684,Nature Communications
High-quality bulk hybrid perovskite single crystals within minutes by inverse temperature crystallization,2015,10.1038/ncomms8586,https://openalex.org/W773815729,1910,True,https://www.nature.com/articles/ncomms8586.pdf,https://doi.org/10.1038/ncomms8586,Nature Communications
Methylammonium Chloride Induces Intermediate Phase Stabilization for Efficient Perovskite Solar Cells,2019,10.1016/j.joule.2019.06.014,https://openalex.org/W2952213661,1743,True,http://www.cell.com/article/S2542435119303058/pdf,https://doi.org/10.1016/j.joule.2019.06.014,Joule
Solvent Annealing of Perovskite‐Induced Crystal Growth for Photovoltaic‐Device Efficiency Enhancement,2014,10.1002/adma.201401685,https://openalex.org/W1986717625,1703,True,https://www.osti.gov/servlets/purl/1237997,https://www.osti.gov/biblio/1237997,Advanced Materials
Van der Waals integration before and beyond two-dimensional materials,2019,10.1038/s41586-019-1013-x,https://openalex.org/W2925217409,1534,True,https://www.nature.com/articles/s41586-019-1013-x.pdf,https://doi.org/10.1038/s41586-019-1013-x,Nature
Solution-processed semiconductors for next-generation photodetectors,2017,10.1038/natrevmats.2016.100,https://openalex.org/W2580498825,1531,True,https://utoronto.scholaris.ca/bitstreams/544533a9-d2ba-47fd-bcad-e7a7554dac98/download,http://hdl.handle.net/1807/75852,Nature Reviews Materials
Perovskite Materials for Light‐Emitting Diodes and Lasers,2016,10.1002/adma.201600669,https://openalex.org/W2396261957,1468,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201600669,https://doi.org/10.1002/adma.201600669,Advanced Materials
High efficiency planar-type perovskite solar cells with negligible hysteresis using EDTA-complexed SnO2,2018,10.1038/s41467-018-05760-x,https://openalex.org/W2885088646,1400,True,https://www.nature.com/articles/s41467-018-05760-x.pdf,https://doi.org/10.1038/s41467-018-05760-x,Nature Communications
Improved charge extraction in inverted perovskite solar cells with dual-site-binding ligands,2024,10.1126/science.adm9474,https://openalex.org/W4394728226,1362,True,https://utoronto.scholaris.ca/bitstreams/4aaf4125-1290-4e5c-bf07-9b53ed6c035f/download,http://hdl.handle.net/1807/139363,Science
Highly efficient planar perovskite solar cells through band alignment engineering,2015,10.1039/c5ee02608c,https://openalex.org/W1941396097,1262,True,https://pubs.rsc.org/en/content/articlepdf/2015/ee/c5ee02608c,https://doi.org/10.1039/c5ee02608c,Energy & Environmental Science
Managing grains and interfaces via ligand anchoring enables 22.3%-efficiency inverted perovskite solar cells,2020,10.1038/s41560-019-0538-4,https://openalex.org/W2998919826,1246,True,https://utoronto.scholaris.ca/bitstreams/fcd62a5b-5e8b-4735-9ff4-2f030a53834e/download,http://hdl.handle.net/1807/100242,Nature Energy
Towards stable and commercially available perovskite solar cells,2016,10.1038/nenergy.2016.152,https://openalex.org/W2536873010,1186,True,https://www.osti.gov/servlets/purl/1329525,https://www.osti.gov/biblio/1329525,Nature Energy
Detection of X-ray photons by solution-processed lead halide perovskites,2015,10.1038/nphoton.2015.82,https://openalex.org/W1517556801,1177,True,https://www.dora.lib4ri.ch/empa/dload/empa:11995/PDF2/view,https://www.dora.lib4ri.ch/empa/islandora/object/empa%3A11995,Nature Photonics
Scalable fabrication of perovskite solar cells,2018,10.1038/natrevmats.2018.17,https://openalex.org/W2790131079,1150,True,https://www.osti.gov/servlets/purl/1430821,https://www.osti.gov/biblio/1430821,Nature Reviews Materials
Under the spotlight: The organic–inorganic hybrid halide perovskite for optoelectronic applications,2015,10.1016/j.nantod.2015.04.009,https://openalex.org/W2185508523,1144,True,https://www.sciencedirect.com/science/article/pii/S1748013215000560/pdf,https://doi.org/10.1016/j.nantod.2015.04.009,Nano Today
Opportunities and challenges for tandem solar cells using metal halide perovskite semiconductors,2018,10.1038/s41560-018-0190-4,https://openalex.org/W2847347814,1113,True,https://www.osti.gov/servlets/purl/1686155,https://www.osti.gov/biblio/1686155,Nature Energy
Monolithic all-perovskite tandem solar cells with 24.8% efficiency exploiting comproportionation to suppress Sn(ii) oxidation in precursor ink,2019,10.1038/s41560-019-0466-3,https://openalex.org/W2973335593,1069,True,https://utoronto.scholaris.ca/bitstreams/1657147f-a8ba-4220-8150-73ca5b33a2a5/download,http://hdl.handle.net/1807/97401,Nature Energy
Strain engineering in perovskite solar cells and its impacts on carrier dynamics,2019,10.1038/s41467-019-08507-4,https://openalex.org/W2912153941,1037,True,https://www.nature.com/articles/s41467-019-08507-4.pdf,https://doi.org/10.1038/s41467-019-08507-4,Nature Communications
Efficient green light-emitting diodes based on quasi-two-dimensional composition and phase engineered perovskite with surface passivation,2018,10.1038/s41467-018-02978-7,https://openalex.org/W2800279715,1000,True,https://www.nature.com/articles/s41467-018-02978-7.pdf,https://doi.org/10.1038/s41467-018-02978-7,Nature Communications
Perovskites for Next-Generation Optical Sources,2019,10.1021/acs.chemrev.9b00107,https://openalex.org/W2940692781,983,True,https://dr.ntu.edu.sg/bitstream/10356/140305/2/Chem%20Rev_combined_revision%20tedits-Clean.pdf,https://hdl.handle.net/10356/140305,Chemical Reviews
Highly Reproducible Sn‐Based Hybrid Perovskite Solar Cells with 9% Efficiency,2017,10.1002/aenm.201702019,https://openalex.org/W2760629443,897,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.201702019,https://doi.org/10.1002/aenm.201702019,Advanced Energy Materials
