perovskite_formula,precursors,solvents,solvent_ratio,molarity_M,additives,mix_temp_C,stir_time,filter_um,extraction_confidence,notes,pdf_file,llm_status,regex_precursors,regex_solvents,regex_molarity,regex_ratios
FA0.7MA0.3Pb0.5Sn0.5I3,"['FAI', 'MAI', 'PbI2', 'SnI2']","['DMF', 'DMSO']",3:1,0.8–2.0,['SnF2'],,,,high,"SnF2 additive at 10 mol% relative to metal halides (text truncated). Multiple concentrations tested (0.8, 1.2, 1.6, 1.8, 2.0 M); primary molarity range reported.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1038s41560-019-0466-3_Monolithic_all-perovskite_tandem_solar_cells_with_24.8_efficiency_exploiting_comproportionation_to_suppress_Sn.pdf,ok,FAI;MAI;PbI2;SnI2,DMF;DMSO,0.8 M;1.2 M;1.6 M;1.8 M;2.0 M,0.5:0.5;0.7:0.3;1:1;3:1
Cs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3,"['FAI', 'MABr', 'PbI2', 'PbBr2', 'CsI']","['DMF', 'DMSO']",4:1,1.3,[],,,,high,Organic cation molarity 1.3 M (0.85 FAI + 0.15 MABr); lead salt molarity 1.4 M (0.85 PbI2 + 0.15 PbBr2); CsI added from 2 M DMSO stock (34 µL added); excess lead halide present,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41467-018-07099-9_Universal_passivation_strategy_to_slot-die_printed_SnO2_for_hysteresis-free_efficient_flexible_perovskite_sol.pdf,ok,CsI;FAI;MABr;PbBr2;PbI2,DMF;DMSO;IPA;acetonitrile;isopropanol,0.25 mm;1.3 M;1.4 M;15 mm;2 M,1:1;4:1
,[],[],,,[],,,,low,"Text contains only discussion of perovskite nanocrystals (CsPbBr3, CsPbBr2Cl, CsPbX3) and their properties, not perovskite precursor ink formulation details. No ink preparation method, solvent composition, precursor chemicals, molarity, or processing parameters are provided.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2018_10.1038s41563-018-0018-4_Genesis_challenges_and_opportunities_for_colloidal_lead_halide_perovskite_nanocrystals.pdf,ok,,,,
,[],[],,,[],,,,low,"Text is a literature review/introduction discussing perovskite photodetectors and other materials in general terms. No specific perovskite ink formulation details provided. CH₃NH₃PbI₃ is mentioned only as a reference in citation context, not as a formulation being described.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2017_10.1038natrevmats.2016.100_Solution-processed_semiconductors_for_next-generation_photodetectors.pdf,ok,,,,
,"['PbI2', 'PbBr2', 'NH4Ac']",['DMF'],,0.1,,,1-2 min,,low,"Text describes colloidal quantum dot (CQD) ligand exchange, not traditional halide perovskite precursor ink. PbI2 (0.1 M) and PbBr2 (0.02 M) are lead halide precursors but no organic cation precursor (MAI, FAI, etc.) mentioned. This is a CQD surface passivation process, not a perovskite ink formulation.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1021acsnano.9b06125_Stable_Colloidal_Quantum_Dot_Inks_Enable_Inkjet-Printed_High-Sensitivity_Infrared_Photodetectors.pdf,ok,,DMF;NMP,0.02 M;0.04 M;0.1 M,
MAPbI3,"['PbI2', 'MAI']",['DMSO'],,1.25,[],,,,high,"1.25 M PbI2/MAI (1:1) molar ratio in DMSO. Chlorobenzene used as antisolvent, not part of ink formulation.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2017_10.1038ncomms15684_One-Year_stable_perovskite_solar_cells_by_2D3D_interface_engineering.pdf,ok,MAI;PbI2,DMSO;acetonitrile;ethanol;isopropanol,1 mm;1.1 M;1.2 M;1.25 M;10 mm;2 mm,1:1;2:1
MAPbBr3 and MAPbI3,"['PbBr2', 'MABr', 'PbI2', 'MAI']","['DMF', 'GBL']",,1,[],60,,0.2,high,"Two separate formulations: MAPbBr3 prepared at room temperature in DMF or GBL; MAPbI3 prepared at 60°C in DMF or GBL. Both at 1 M concentration. Text indicates heating to 80°C (Br) and 110°C (I) for crystallization, not synthesis.",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2015_10.1038ncomms8586_High-quality_bulk_hybrid_perovskite_single_crystals_within_minutes_by_inverse_temperature_crystallization.pdf,ok,MABr;MAI,DMF;GBL,0 mm;3 mm;8 mm,6:7586
MAPbI3,"['MAI', 'PbI2']",['DMF'],,1.2,[],,,,high,"Molarity calculated from 25, 30, 40 wt% MAI:PbI2 in DMF (1:1 molar ratio); 30 wt% ≈ 1.2 M using MW(MAI)=158.9, MW(PbI2)=461.0, ρ(DMF)≈0.944 g/mL",C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2015_10.1038nphoton.2015.82_Detection_of_X-ray_photons_by_solution-processed_lead_halide_perovskites.pdf,ok,MAI;PbI2,DMF;ethanol,,1:1
,[],[],,,[],,,,low,Text contains only references to 2D van der Waals heterostructures and graphene-based devices. No perovskite precursor ink formulation information present.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2019_10.1038s41586-019-1013-x_Van_der_Waals_integration_before_and_beyond_two-dimensional_materials.pdf,ok,,,1 M,
Cs0.05MA0.1FA0.85PbI3,"['CsI', 'MAI', 'FAI', 'PbI2']","['DMF', 'DMSO']",745:155,1.67,"['MACl', 'PbI2']",60,1h,0.22,high,Solvent ratio given in μL (745 μL DMF + 155 μL DMSO in 0.9 mL total). Additional PbI2 (35 mg) and MACl (15 mg) added as quality-improving additives. Text also contains WBG perovskite formulation but primary extraction is normal bandgap as it appears first and is more completely specified.,C:\Users\Fahad\Downloads\Fasial Work\000_LLM Review3\perovskite_ink_pipeline\perovskite_ink_pipeline\pdfs\2024_10.1126science.adm9474_Improved_charge_extraction_in_inverted_perovskite_solar_cells_with_dual-site-binding_ligands.pdf,ok,CsI;FAI;MACl;MAI;PEABr;PbBr2;PbCl2;PbI2;SnI2,DMF;DMSO;ethanol;isopropanol,1.2 M;1.67 M;1.8 M,1:1;3:1;4:1
