perovskite_formula,precursors,solvents,solvent_ratio,molarity_M,additives,mix_temp_C,stir_time,filter_um,extraction_confidence,notes,pdf_file,llm_status,regex_precursors,regex_solvents,regex_molarity,regex_ratios
Cs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3,"['FAI', 'MABr', 'PbI2', 'PbBr2', 'CsI']","['DMF', 'DMSO']",4:1,1.3,[],,,,high,"1.3 M organic cation concentration, 1.4 M lead salts with slight excess, CsI added from 2 M DMSO stock solution",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-07099-9_Universal_passivation_strategy_to_slot-die_printed_SnO2_for_hysteresis-free_efficient_flexible_perovskite_sol.pdf,ok,CsI;FAI;MABr;PbBr2;PbI2,DMF;DMSO;IPA;acetonitrile;isopropanol,0.25 mm;1.3 M;1.4 M;15 mm;2 M,1:1;4:1
FA0.85MA0.15PbI2.55Br0.45,"['FAI', 'PbI2', 'MABr', 'PbBr2']","['DMF', 'DMSO']",4:1,1.49,[],,,,high,"FAMA perovskite with FAI 1.38M, PbI2 1.49M, MABr 0.24M, PbBr2 0.26M - stoichiometry suggests FA0.85MA0.15PbI2.55Br0.45",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08507-4_Strain_engineering_in_perovskite_solar_cells_and_its_impacts_on_carrier_dynamics.pdf,ok,CsI;FAI;MABr;PbBr2;PbI2,DMF;DMSO;acetonitrile;ethanol,0.24 M;0.26 M;1.38 M;1.49 M,10:815;4:1
(FAPbI3)0.85(MAPbBr3)0.15,"['FAPbI3', 'MAPbBr3', 'PbI2']","['DMF', 'DMSO']",6:1,1.05,['MACl'],50,,,high,Contains 7.5 mol% excess PbI2; antisolvent diethyl ether used during spin-coating,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05583-w_Understanding_how_excess_lead_iodide_precursor_improves_halide_perovskite_solar_cell_performance.pdf,ok,FAI;MACl;PbI2,DMF;DMSO,1.05 M;3 M,6:1;v/v
CsPbBr3,"['CsBr', 'PbBr2']",['DMSO'],,0.5,['CH3NH3Br'],45,overnight,,high,Excess CsBr used (2.2:1 ratio vs stoichiometric 1:1) to suppress non-perovskite phases; MABr additive at 0.05 M for some samples,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1038ncomms15640_Ultra-bright_and_highly_efficient_inorganic_based_perovskite_light-emitting_diodes.pdf,ok,CsBr;MABr;PbBr2,DMSO;isopropanol;methanol,0.05 M;0.5 M;1.1 M,2.1:1;2.2:1;2.4:1;2:1
Cs0.05FA0.82MA0.13PbI2.7Br0.3,"['CsI', 'FAI', 'MAI', 'PbI2', 'PbBr2']","['DMF', 'DMSO']",4:1,1,[],180,,,high,"CsI dissolved in pure DMSO at 150°C, other precursors in DMF:DMSO at 180°C",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-22049-8_A_general_approach_to_high-efficiency_perovskite_solar_cells_by_any_antisolvent.pdf,ok,CsI;FAI;MAI;PbBr2;PbI2,DMF;DMSO;IPA,1 M;1.1 M;1.155 M;2 M,0.05:0.85;0.95:1;4:1;5:1;v/v
(PEA)2(MA)3Pb4I13,"['PEAI', 'MAI', 'PbI2']",['DMF'],,1,[],,60min,,high,"2D perovskite with PEAI:MAI:PbI2 molar ratio 2:3:4, concentration based on Pb2+ content",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08980-x_Synthetic_control_over_orientational_degeneracy_of_spacer_cations_enhances_solar_cell_efficiency_in_two-dimen.pdf,ok,MAI;PEAI;PbI2,DMF;ethanol,0.5 M;1 M,2:3
MAPbI3,"['PbI2', 'MAI']","['DMF', 'DMSO']",4:1,1.5,,,,,high,Multiple perovskite formulations described; extracted first/main MAPbI3 with 1.05:1 PbI2:MAI molar ratio,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-09167-0_A_chemically_inert_bismuth_interlayer_enhances_long-term_stability_of_inverted_perovskite_solar_cells.pdf,ok,CsBr;CsI;FAI;MABr;MAI;PbBr2;PbI2,DMF;DMSO;acetonitrile;ethanol,0.02 mol L-1;0.2 M;0.2 mm;0.225 M;1 M;1.1 M;1.275 M;1.5 M;1.52 M,1.05:1;4:1;80:15;95:5
FA0.83MA0.17PbI2.83Br0.17,"['FAI', 'PbI2', 'MABr', 'PbBr2']","['DMF', 'DMSO']",4:1,,[],,,,high,"Individual precursor concentrations given: FAI 1M, PbI2 1.1M, MABr 0.2M, PbBr2 0.22M. Formula calculated from stoichiometric ratios.",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1039c8ee01447g_How_the_formation_of_interfacial_charge_causes_hysteresis_in_perovskite_solar_cells.pdf,ok,FAI;MABr;PbBr2;PbI2,DMF;DMSO,0.2 M;0.22 M;1 M;1.1 M;4 M,3 : 1;3:09;4 : 1
,"['FABr', 'PEABr', 'CsBr', 'PbBr2']",['DMSO'],,0.4,['NVAL'],,,,medium,"Quasi-2D perovskite with n=10, NVAL additive at 8.0 mol% relative to Pb, specific formula not provided",C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-22529-x_High-performance_large-area_quasi-2D_perovskite_light-emitting_diodes.pdf,ok,CsBr;FABr;PEABr;PbBr2,DMSO;ethanol;methanol,0.4 M,1:1
FA0.83MA0.17PbI2.83Br0.17,"['FAI', 'PbI2', 'MABr', 'PbBr2']","['DMF', 'DMSO']",4:1,1.0,[],,,,high,Slight excess PbI2 (1.1M vs 1M FAI) typical for perovskite formulations,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05076-w_Manipulation_of_facet_orientation_in_hybrid_perovskite_polycrystalline_films_by_cation_cascade.pdf,ok,CsI;FAI;MABr;PbBr2;PbI2,DMF;DMSO;acetonitrile;ethanol;isopropanol,0.2 M;0.22 M;1 M;1.0 M;1.1 M;1.5 M,4:1;9:2793
