pdf_file,perovskite_formula,solvent_system_final,solvent_ratio_final,molarity_M,additives_found,recipe_class,recipe_score,recipe_tier,formula_family,has_formula,has_solvent,has_ratio,has_molarity,has_additives,cluster
sample_paper_001.pdf,MAPbI3,DMF:DMSO,4:1,1.4,MACl,complete,8,gold,I-rich,1,1,1,1,1,2
sample_paper_002.pdf,FAPbI3,DMF:DMSO,9:1,1.3,none,complete,7,gold,I-rich,1,1,1,1,0,2
sample_paper_003.pdf,Cs0.05FA0.81MA0.14PbI2.55Br0.45,DMF:DMSO,4:1,1.4,MACl,complete,9,gold,I-rich,1,1,1,1,1,2
sample_paper_004.pdf,MAPbBr3,DMF:DMSO,1:1,0.1,none,partial,5,silver,Br-rich,1,1,1,1,0,1
sample_paper_005.pdf,MAPbI3,GBL,pure,1.2,none,complete,7,gold,I-rich,1,1,0,1,0,3
sample_paper_006.pdf,FAPbBr3,DMF,pure,0.5,PEAI,partial,6,silver,Br-rich,1,1,0,1,1,1
sample_paper_007.pdf,MAPbI3,DMSO,pure,1.5,methylamine gas,complete,8,gold,I-rich,1,1,0,1,1,2
sample_paper_008.pdf,Cs0.1FA0.9PbI3,NMP:DMSO,3:1,1.4,none,complete,7,gold,I-rich,1,1,1,1,0,2
sample_paper_009.pdf,MAPbI2Cl,DMF:DMSO,4:1,1.0,MACl,complete,8,gold,I-rich,1,1,1,1,1,2
sample_paper_010.pdf,FAPbI3,GVL:DMSO,9:1,1.35,none,complete,8,gold,I-rich,1,1,1,1,0,2
sample_paper_011.pdf,MAPbBr3,DMF,pure,0.1,none,minimal,3,bronze,Br-rich,1,1,0,1,0,0
sample_paper_012.pdf,CsPbBr3,DMSO,pure,0.5,none,partial,5,silver,Br-rich,1,1,0,1,0,1
sample_paper_013.pdf,Cs0.17FA0.83Pb(I0.9Br0.1)3,DMF:DMSO,5:1,1.5,MACl,complete,9,gold,I-rich,1,1,1,1,1,2
sample_paper_014.pdf,MAPbI3,2-ME,pure,1.0,none,partial,5,silver,I-rich,1,1,0,1,0,1
sample_paper_015.pdf,FAPbI3,DMF:DMSO,4:1,1.4,PEAI,complete,9,gold,I-rich,1,1,1,1,1,2
sample_paper_016.pdf,MAPbI3,DMF:DMSO,4:1,1.3,PbCl2,complete,8,gold,I-rich,1,1,1,1,1,2
sample_paper_017.pdf,CsPbI2Br,DMSO,pure,0.8,none,partial,5,silver,I-rich,1,1,0,1,0,1
sample_paper_018.pdf,FA0.83Cs0.17PbI2.49Br0.51,DMF:DMSO,4:1,1.5,none,complete,7,gold,I-rich,1,1,1,1,0,2
sample_paper_019.pdf,MAPbI3,DMF,pure,1.2,MACl,partial,6,silver,I-rich,1,1,0,1,1,1
sample_paper_020.pdf,CsPbBr3,DMF:DMSO,4:1,0.2,none,partial,5,silver,Br-rich,1,1,1,1,0,1
sample_paper_021.pdf,MAPbI3,DMSO:NMP,1:1,1.0,none,complete,6,silver,I-rich,1,1,1,1,0,2
sample_paper_022.pdf,FAPbBr3,DMF,pure,0.3,TBAI,partial,6,silver,Br-rich,1,1,0,1,1,1
sample_paper_023.pdf,Cs0.05FA0.95PbI3,GBL:DMSO,9:1,1.5,MACl,complete,9,gold,I-rich,1,1,1,1,1,2
sample_paper_024.pdf,MAPbI3,DMF:DMSO,3:1,1.4,none,complete,7,gold,I-rich,1,1,1,1,0,2
sample_paper_025.pdf,FAPbI3,GVL:DMSO,9:1,1.2,PEAI,complete,9,gold,I-rich,1,1,1,1,1,2
sample_paper_026.pdf,CsPbI3,DMSO,pure,1.0,none,partial,4,bronze,I-rich,1,1,0,1,0,0
sample_paper_027.pdf,MAPbBr3,ACN:MA,4:1,0.5,none,partial,5,silver,Br-rich,1,1,1,1,0,1
sample_paper_028.pdf,FA0.5MA0.5PbI3,DMF:DMSO,4:1,1.4,MACl,complete,8,gold,I-rich,1,1,1,1,1,2
sample_paper_029.pdf,MAPbI3,DMF:DMSO,4:1,1.3,none,complete,7,gold,I-rich,1,1,1,1,0,2
sample_paper_030.pdf,CsPbBr3,DMF:DMSO,4:1,0.3,PEABr,complete,7,gold,Br-rich,1,1,1,1,1,2
