record_no,pdf_file,perovskite_formula,extraction_confidence,formula_family
1,2018_10.1038s41467-018-07099-9_Universal_passivation_strategy_to_slot-die_printed_SnO2_for_hysteresis-free_efficient_flexible_perovskite_sol.pdf,Cs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3,high,Triple-cation (Cs/FA/MA)
2,2019_10.1038s41467-019-08507-4_Strain_engineering_in_perovskite_solar_cells_and_its_impacts_on_carrier_dynamics.pdf,FA0.85MA0.15PbI2.55Br0.45,high,Double-cation (FA/MA)
3,2018_10.1038s41467-018-05583-w_Understanding_how_excess_lead_iodide_precursor_improves_halide_perovskite_solar_cell_performance.pdf,(FAPbI3)0.85(MAPbBr3)0.15,high,Double-cation (FA/MA)
4,2017_10.1038ncomms15640_Ultra-bright_and_highly_efficient_inorganic_based_perovskite_light-emitting_diodes.pdf,CsPbBr3,high,All-inorganic (CsPbX3)
5,2021_10.1038s41467-021-22049-8_A_general_approach_to_high-efficiency_perovskite_solar_cells_by_any_antisolvent.pdf,Cs0.05FA0.82MA0.13PbI2.7Br0.3,high,Triple-cation (Cs/FA/MA)
6,2019_10.1038s41467-019-08980-x_Synthetic_control_over_orientational_degeneracy_of_spacer_cations_enhances_solar_cell_efficiency_in_two-dimen.pdf,(PEA)2(MA)3Pb4I13,high,2D/quasi-2D
7,2019_10.1038s41467-019-09167-0_A_chemically_inert_bismuth_interlayer_enhances_long-term_stability_of_inverted_perovskite_solar_cells.pdf,MAPbI3,high,Single-cation (MA)
8,2018_10.1039c8ee01447g_How_the_formation_of_interfacial_charge_causes_hysteresis_in_perovskite_solar_cells.pdf,FA0.83MA0.17PbI2.83Br0.17,high,Double-cation (FA/MA)
9,2018_10.1038s41467-018-05076-w_Manipulation_of_facet_orientation_in_hybrid_perovskite_polycrystalline_films_by_cation_cascade.pdf,FA0.83MA0.17PbI2.83Br0.17,high,Double-cation (FA/MA)
10,2018_10.1039c8ra03471k_Understanding_effects_of_precursor_solution_aging_in_triple_cation_lead_perovskite.pdf,CsxFA1-x-yMAyPbI3-zBrz,high,Triple-cation (Cs/FA/MA)
11,2019_10.1038s41467-019-08455-z_Perovskite-polymer_composite_cross-linker_approach_for_highly-stable_and_efficient_perovskite_solar_cells.pdf,MAPbI3,high,Single-cation (MA)
12,2021_10.1038s41467-021-21292-3_Interpenetrating_interfaces_for_efficient_perovskite_solar_cells_with_high_operational_stability_and_mechanic.pdf,Cs0.04(FA0.84MA0.16)0.96Pb(I0.84Br0.16)3,high,Triple-cation (Cs/FA/MA)
13,2015_10.1038ncomms8586_High-quality_bulk_hybrid_perovskite_single_crystals_within_minutes_by_inverse_temperature_crystallization.pdf,MAPbI3,high,Single-cation (MA)
14,2018_10.1038s41467-018-05760-x_High_efficiency_planar-type_perovskite_solar_cells_with_negligible_hysteresis_using_EDTA-complexed_SnO2.pdf,Cs0.05FA0.95PbI3,high,Double-cation (Cs/FA)
15,2018_10.1038s41467-018-06709-w_Multifunctional_molecular_modulators_for_perovskite_solar_cells_with_over_20_efficiency_and_high_operational_.pdf,FAxCs1-xPbI3,medium,Double-cation (Cs/FA)
