pdf_file,perovskite_formula,solvent_system_final,solvent_ratio_final,additives_found,molarity_M,recipe_class,recipe_score,recipe_tier
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1039c9ra06631d_Acetonitrile_based_single_step_slot-die_compatible_perovskite_ink_for_flexible_photovoltaics.pdf,,ACN:DMF,,,1,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.21203rs.3.rs-93765v1_20.8_slot-die_coated_MAPbI3_perovskite_solar_cells_by_optimal_DMSO-content_and_age_of_2-ME_based_precursor_inks.pdf,,2-ME:DMSO,,,1;2,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-07099-9_Universal_passivation_strategy_to_slot-die_printed_SnO2_for_hysteresis-free_efficient_flexible_perovskite_sol.pdf,.15PbBr2,DMF:DMSO,4:1,CsI;chlorobenzene,1;2,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1039d0ma00077a_Inkjet_printed_mesoscopic_perovskite_solar_cells_with_custom_design_capability.pdf,,GBL:isopropanol,,,,PROCESS_ONLY,2,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-06425-5_Solution-processed_perovskite_light_emitting_diodes_with_efficiency_exceeding_15_through_additive-controlled_.pdf,,DMSO:ethanol,1:1,PEABr,,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05583-w_Understanding_how_excess_lead_iodide_precursor_improves_halide_perovskite_solar_cell_performance.pdf,FAPbI3,DMF:DMSO,6:1,MACl,1;3,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-18940-5_Roll-to-roll_gravure-printed_flexible_perovskite_solar_cells_using_eco-friendly_antisolvent_bathing_with_wide.pdf,,,,MACl,1;2,FORMULATION_SECONDARY,4,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-16726-3_SnIV-free_tin_perovskite_films_realized_by_in_situ_Sn0_nanoparticle_treatment_of_the_precursor_solution.pdf,,DMF:DMSO,,,,PROCESS_ONLY,2,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-10612-3_Unveiling_the_synergistic_effect_of_precursor_stoichiometry_and_interfacial_reactions_for_perovskite_light-em.pdf,PbI2,,2.5:1,CsI,,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-020-20433-4_Large-area_and_efficient_perovskite_light-emitting_diodes_via_low-temperature_blade-coating.pdf,,,,,,PROCESS_ONLY,0,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1039c8ee01136b_Fractional_deviations_in_precursor_stoichiometry_dictate_the_properties_performance_and_stability_of_perovskite_photo.pdf,,DMF:DMSO,,,1,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1007s40820-021-00688-2_A_Special_Additive_Enables_All_Cations_and_Anions_Passivation_for_Stable_Perovskite_Solar_Cells_with_Efficien.pdf,,DMF:DMSO,,,1,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41598-020-63674-5_Fully_Spray-Coated_Triple-Cation_Perovskite_Solar_Cells.pdf,PbBr2,DMF:DMSO,4:1,CsI,,FORMULATION_SECONDARY,7,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.26599nre.2022.9120004_Self-assembled_monolayer_enabling_improved_buried_interfaces_in_blade-coated_perovskite_solar_cells_for_high_e.pdf,MAPbI3,2-ME:DMF,,chlorobenzene,1,FORMULATION_SECONDARY,7,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05937-4_Transformation_from_crystalline_precursor_to_perovskite_in_PbCl2-derived_MAPbI3.pdf,,,,MACl,2,FORMULATION_SECONDARY,4,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1039d0ra06074g_Facile_all-dip-coating_deposition_of_highly_efficient_CHsub3subsub3subNPbIsub3xsubClsubxsub_perovskite_materials_from.pdf,,IPA:acetonitrile,2:1,MACl,,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1007s40820-020-00559-2_Spray_Pyrolyzed_TiO2_Embedded_Multi-Layer_Front_Contact_Design_for_High-Efficiency_Perovskite_Solar_Cells.pdf,PbI2.3,DMF:DMSO,,,1,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1038s41598-017-08642-2_Spray-cast_multilayer_perovskite_solar_cells_with_an_active-area_of_1.5cm2.pdf,,DMF:ethanol,2.95:1,,,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1039c8ra03471k_Understanding_effects_of_precursor_solution_aging_in_triple_cation_lead_perovskite.pdf,PbI2,DMF:DMSO,4:1,CsI,1,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.1007s40820-022-00815-7_Fully_Roll-to-Roll_Processed_Efficient_Perovskite_Solar_Cells_via_Precise_Control_on_the_Morphology_of_PbI2Cs.pdf,,,,,,PROCESS_ONLY,0,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2023_10.1007s40820-023-01110-9_Additive_Engineering_for_Stable_and_Efficient_DionJacobson_Phase_Perovskite_Solar_Cells.pdf,PbI2,DMF:DMSO,,MACl,,PROCESS_ONLY,4,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1039d1ma00975c_Green_solvent_engineering_for_enhanced_performance_and_reproducibility_in_printed_carbon-based_mesoscopic_perovskite_.pdf,,DMF:DMSO,,,1,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.1039d2se00162d_Recent_developments_in_perovskite-based_precursor_inks_for_scalable_architectures_of_perovskite_solar_cell_technology.pdf,PbBr2,DMF:DMSO,,CsI;MACl;NMP,1;2,FORMULATION_SECONDARY,7,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1021acs.jpclett.0c03741_Optical_Fingerprints_of_Polynuclear_Complexes_in_Lead_Halide_Perovskite_Precursor_Solutions.pdf,PbI2,,,,1,FORMULATION_SECONDARY,4,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1039d1ta06556d_A_synopsis_of_progressive_transition_in_precursor_inks_development_for_metal_halide_perovskites-based_photovoltaic_te.pdf,PbBr2,DMF:DMSO,4:1,MACl,1,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05760-x_High_efficiency_planar-type_perovskite_solar_cells_with_negligible_hysteresis_using_EDTA-complexed_SnO2.pdf,,DMF:DMSO,4:1,CsI,,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2015_10.1039c5ee02608c_Highly_efficient_planar_perovskite_solar_cells_through_band_alignment_engineering.pdf,PbI2,,,,1,FORMULATION_SECONDARY,4,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08507-4_Strain_engineering_in_perovskite_solar_cells_and_its_impacts_on_carrier_dynamics.pdf,PbI2,DMF:DMSO,4:1,CsI;HBr;HI;chlorobenzene,1,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-02978-7_Efficient_green_light-emitting_diodes_based_on_quasi-two-dimensional_composition_and_phase_engineered_perovsk.pdf,,DMSO:isopropanol,,PEABr,,PROCESS_ONLY,3,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1038ncomms15640_Ultra-bright_and_highly_efficient_inorganic_based_perovskite_light-emitting_diodes.pdf,PbBr20,DMSO:isopropanol,2.2:1,,1,FORMULATION_PRIMARY,9,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05909-8_Color-stable_highly_luminescent_sky-blue_perovskite_light-emitting_diodes.pdf,,DMSO:IPA,,,,PROCESS_ONLY,2,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-03169-0_Surface_passivation_engineering_strategy_to_fully-inorganic_cubic_CsPbI3_perovskites_for_high-performance_sol.pdf,,DMF:DMSO,,CsI,,PROCESS_ONLY,3,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2016_10.1038ncomms10228_A_polymer_scaffold_for_self-healing_perovskite_solar_cells.pdf,PbCl2,DMSO:ethanol,,,,PROCESS_ONLY,3,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-04636-4_Solvent-controlled_growth_of_inorganic_perovskite_films_in_dry_environment_for_efficient_and_stable_solar_cel.pdf,,DMF:DMSO,1:1,CsI,,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08455-z_Perovskite-polymer_composite_cross-linker_approach_for_highly-stable_and_efficient_perovskite_solar_cells.pdf,PbI2,DMF:DMSO,1:1,,,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-09011-5_Modulation_of_recombination_zone_position_for_quasi-two-dimensional_blue_perovskite_light-emitting_diodes_wit.pdf,,,,PEABr,,PROCESS_ONLY,1,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-09942-z_Circularly_polarized_light_detection_using_chiral_hybrid_perovskite.pdf,,DMF:ethanol,1:1,,,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1038s41560-017-0054-3_Large_guanidinium_cation_mixed_with_methylammonium_in_lead_iodide_perovskites_for_19_efficient_solar_cells.pdf,,DMSO:acetonitrile,1:8,,,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-16034-w_Nucleation-controlled_growth_of_superior_lead-free_perovskite_Cs3Bi2I9_single-crystals_for_high-performance_X.pdf,,DMF:DMSO,3:2,CsI,,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08425-5_Trifluoroacetate_induced_small-grained_CsPbBr3_perovskite_films_result_in_efficient_and_stable_light-emitting.pdf,PbBr2,,,,,PROCESS_ONLY,1,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1039c8ee02751j_Lattice_strain_causes_non-radiative_losses_in_halide_perovskites.pdf,,DMF:DMSO,3:1,,1,FORMULATION_PRIMARY,8,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-06915-6_All-inorganic_cesium_lead_iodide_perovskite_solar_cells_with_stabilized_efficiency_beyond_15.pdf,,DMF:DMSO,9:1,CsI;HI;PEAI,,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-020-20582-6_Mixed_halide_perovskites_for_spectrally_stable_and_high-efficiency_blue_light-emitting_diodes.pdf,PbBr2,,1.2:0.3,PEABr,,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-22864-z_Degradation_mechanism_of_hybrid_tin-based_perovskite_solar_cells_and_the_critical_role_of_tin_IV_iodide.pdf,,DMF:DMSO,4:1,PEAI;chlorobenzene;toluene,,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1039c7ee01674c_Impact_of_Hsub2subO_on_organicinorganic_hybrid_perovskite_solar_cells.pdf,,,,,,PROCESS_ONLY,0,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-22049-8_A_general_approach_to_high-efficiency_perovskite_solar_cells_by_any_antisolvent.pdf,PbI2,DMF:DMSO,4:1,CsI,1;2,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-21522-8_Smoothing_the_energy_transfer_pathway_in_quasi-2D_perovskite_films_using_methanesulfonate_leads_to_highly_eff.pdf,,,,,,PROCESS_ONLY,0,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-04028-8_Molecular_doping_enabled_scalable_blading_of_efficient_hole-transport-layer-free_perovskite_solar_cells.pdf,,DMF:DMSO,,MACl,1,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-04029-7_Perovskite_seeding_growth_of_formamidinium-lead-iodide-based_perovskites_for_efficient_and_stable_solar_cells.pdf,,DMF:DMSO,4:1,,1,FORMULATION_PRIMARY,8,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-09167-0_A_chemically_inert_bismuth_interlayer_enhances_long-term_stability_of_inverted_perovskite_solar_cells.pdf,PbI2,DMF:DMSO,4:1,,1,FORMULATION_PRIMARY,9,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1039c8ee01447g_How_the_formation_of_interfacial_charge_causes_hysteresis_in_perovskite_solar_cells.pdf,PbI2,DMF:DMSO,3:1,,1,FORMULATION_PRIMARY,9,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2016_10.1038srep37254_X-ray_Scintillation_in_Lead_Halide_Perovskite_Crystals.pdf,,DMF:DMSO,1:1,,1,FORMULATION_PRIMARY,8,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-13580-w_Efficient_sky-blue_perovskite_light-emitting_diodes_via_photoluminescence_enhancement.pdf,PbBr,,1:1,,1,FORMULATION_PRIMARY,7,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1039c9ee02115a_Carbon-based_materials_for_stable_cheaper_and_large-scale_processable_perovskite_solar_cells.pdf,,ethanol:isopropanol,,,,PROCESS_ONLY,2,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-06709-w_Multifunctional_molecular_modulators_for_perovskite_solar_cells_with_over_20_efficiency_and_high_operational_.pdf,,GBL:DMF,1.1:1,HI,1,FORMULATION_PRIMARY,9,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-22529-x_High-performance_large-area_quasi-2D_perovskite_light-emitting_diodes.pdf,PbBr2,DMSO:ethanol,1:1,PEABr,,FORMULATION_SECONDARY,7,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-17943-6_Large_cation_ethylammonium_incorporated_perovskite_for_efficient_and_spectra_stable_blue_light-emitting_diode.pdf,PbBr2,,3:1,PEABr,,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2023_10.1038s41467-023-36229-1_One-stone-for-two-birds_strategy_to_attain_beyond_25_perovskite_solar_cells.pdf,FAPbI3,DMF:DMSO,,MACl,1,FORMULATION_SECONDARY,7,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2022_10.1038s41565-022-01228-8_Nano-optical_designs_for_high-efficiency_monolithic_perovskitesilicon_tandem_solar_cells.pdf,,DMSO:ethanol,,,1,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-07204-y_Myths_and_reality_of_HPbI3_in_halide_perovskite_solar_cells.pdf,,DMF:DMSO,1:3,CsI;HI,,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05531-8_Dipolar_cations_confer_defect_tolerance_in_wide-bandgap_metal_halide_perovskites.pdf,,DMF:DMSO,4:1,CsI,1,FORMULATION_PRIMARY,9,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08980-x_Synthetic_control_over_orientational_degeneracy_of_spacer_cations_enhances_solar_cell_efficiency_in_two-dimen.pdf,PbI2,DMF:ethanol,2:3,HI;PEAI,1,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08958-9_Unveiling_the_operation_mechanism_of_layered_perovskite_solar_cells.pdf,,,2:3,,1;2,FORMULATION_PRIMARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-21292-3_Interpenetrating_interfaces_for_efficient_perovskite_solar_cells_with_high_operational_stability_and_mechanic.pdf,PbBr2,DMF:DMSO,4:1,CsI;chlorobenzene,,FORMULATION_SECONDARY,7,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1039d1ee01508g_Two_birds_with_one_stone_dual_grain-boundary_and_interface_passivation_enables_gt22_efficient_inverted_methylammonium.pdf,,DMSO:IPA,1:1,,,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-15077-3_Enhanced_optical_path_and_electron_diffusion_length_enable_high-efficiency_perovskite_tandems.pdf,(nm)PbI21,DMF:DMSO,,,1;2,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-017-02684-w_Long-lived_hot-carrier_light_emission_and_large_blue_shift_in_formamidinium_tin_triiodide_perovskites.pdf,,DMF:DMSO,,,1,FORMULATION_SECONDARY,5,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2023_10.1038s41560-023-01249-0_Bifunctional_hole-shuttle_molecule_for_improved_interfacial_energy_level_alignment_and_defect_passivation_in_.pdf,,DMF:DMSO,4:1,,1,FORMULATION_PRIMARY,8,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1038s41598-017-12436-x_Hysteresis-free_perovskite_solar_cells_made_of_potassium-doped_organometal_halide_perovskite.pdf,,DMF:DMSO,4:1,tBP,1,FORMULATION_PRIMARY,9,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41467-020-16831-3_Bio-inspired_vertebral_design_for_scalable_and_flexible_perovskite_solar_cells.pdf,,DMF:DMSO,,chlorobenzene,,PROCESS_ONLY,3,WEAK
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05076-w_Manipulation_of_facet_orientation_in_hybrid_perovskite_polycrystalline_films_by_cation_cascade.pdf,PbBr2,DMF:DMSO,4:1,CsI;RbI,1,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1039d0ee02175j_Low-temperature_carbon-based_electrodes_in_perovskite_solar_cells.pdf,,,,,2,FORMULATION_SECONDARY,3,WEAK
