pdf_file,perovskite_formula,solvent_system_final,solvent_ratio_final,additives_found,molarity_M,recipe_class,recipe_score,recipe_tier
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-07099-9_Universal_passivation_strategy_to_slot-die_printed_SnO2_for_hysteresis-free_efficient_flexible_perovskite_sol.pdf,.15PbBr2,DMF:DMSO,4:1,CsI;chlorobenzene,1;2,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05583-w_Understanding_how_excess_lead_iodide_precursor_improves_halide_perovskite_solar_cell_performance.pdf,FAPbI3,DMF:DMSO,6:1,MACl,1;3,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2020_10.1038s41598-020-63674-5_Fully_Spray-Coated_Triple-Cation_Perovskite_Solar_Cells.pdf,PbBr2,DMF:DMSO,4:1,CsI,,FORMULATION_SECONDARY,7,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1039c8ra03471k_Understanding_effects_of_precursor_solution_aging_in_triple_cation_lead_perovskite.pdf,PbI2,DMF:DMSO,4:1,CsI,1,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1039d1ta06556d_A_synopsis_of_progressive_transition_in_precursor_inks_development_for_metal_halide_perovskites-based_photovoltaic_te.pdf,PbBr2,DMF:DMSO,4:1,MACl,1,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08507-4_Strain_engineering_in_perovskite_solar_cells_and_its_impacts_on_carrier_dynamics.pdf,PbI2,DMF:DMSO,4:1,CsI;HBr;HI;chlorobenzene,1,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1038ncomms15640_Ultra-bright_and_highly_efficient_inorganic_based_perovskite_light-emitting_diodes.pdf,PbBr20,DMSO:isopropanol,2.2:1,,1,FORMULATION_PRIMARY,9,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08455-z_Perovskite-polymer_composite_cross-linker_approach_for_highly-stable_and_efficient_perovskite_solar_cells.pdf,PbI2,DMF:DMSO,1:1,,,FORMULATION_SECONDARY,6,MODERATE
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-22049-8_A_general_approach_to_high-efficiency_perovskite_solar_cells_by_any_antisolvent.pdf,PbI2,DMF:DMSO,4:1,CsI,1;2,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-09167-0_A_chemically_inert_bismuth_interlayer_enhances_long-term_stability_of_inverted_perovskite_solar_cells.pdf,PbI2,DMF:DMSO,4:1,,1,FORMULATION_PRIMARY,9,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1039c8ee01447g_How_the_formation_of_interfacial_charge_causes_hysteresis_in_perovskite_solar_cells.pdf,PbI2,DMF:DMSO,3:1,,1,FORMULATION_PRIMARY,9,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-22529-x_High-performance_large-area_quasi-2D_perovskite_light-emitting_diodes.pdf,PbBr2,DMSO:ethanol,1:1,PEABr,,FORMULATION_SECONDARY,7,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08980-x_Synthetic_control_over_orientational_degeneracy_of_spacer_cations_enhances_solar_cell_efficiency_in_two-dimen.pdf,PbI2,DMF:ethanol,2:3,HI;PEAI,1,FORMULATION_PRIMARY,10,GOLD
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2021_10.1038s41467-021-21292-3_Interpenetrating_interfaces_for_efficient_perovskite_solar_cells_with_high_operational_stability_and_mechanic.pdf,PbBr2,DMF:DMSO,4:1,CsI;chlorobenzene,,FORMULATION_SECONDARY,7,STRONG
C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05076-w_Manipulation_of_facet_orientation_in_hybrid_perovskite_polycrystalline_films_by_cation_cascade.pdf,PbBr2,DMF:DMSO,4:1,CsI;RbI,1,FORMULATION_PRIMARY,10,GOLD
