title,year,doi,openalex_id,cited_by,is_oa,pdf_url,landing_url,venue,pipeline_stage_reached
High-quality bulk hybrid perovskite single crystals within minutes by inverse temperature crystallization,2015,10.1038/ncomms8586,https://openalex.org/W773815729,1843,True,https://www.nature.com/articles/ncomms8586.pdf,https://doi.org/10.1038/ncomms8586,Nature Communications,pdf_downloaded
Van der Waals integration before and beyond two-dimensional materials,2019,10.1038/s41586-019-1013-x,https://openalex.org/W2925217409,1442,True,https://www.nature.com/articles/s41586-019-1013-x.pdf,https://doi.org/10.1038/s41586-019-1013-x,Nature,pdf_downloaded
Perovskite Materials for Light‐Emitting Diodes and Lasers,2016,10.1002/adma.201600669,https://openalex.org/W2396261957,1429,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.201600669,https://doi.org/10.1002/adma.201600669,Advanced Materials,candidate
High efficiency planar-type perovskite solar cells with negligible hysteresis using EDTA-complexed SnO2,2018,10.1038/s41467-018-05760-x,https://openalex.org/W2885088646,1367,True,https://www.nature.com/articles/s41467-018-05760-x.pdf,https://doi.org/10.1038/s41467-018-05760-x,Nature Communications,pdf_downloaded
Highly efficient planar perovskite solar cells through band alignment engineering,2015,10.1039/c5ee02608c,https://openalex.org/W1941396097,1234,True,https://pubs.rsc.org/en/content/articlepdf/2015/ee/c5ee02608c,https://doi.org/10.1039/c5ee02608c,Energy & Environmental Science,pdf_downloaded
"Humidity Sensors Principle, Mechanism, and Fabrication Technologies: A Comprehensive Review",2014,10.3390/s140507881,https://openalex.org/W2001086979,1218,True,https://www.mdpi.com/1424-8220/14/5/7881/pdf?version=1403353770,https://doi.org/10.3390/s140507881,Sensors,candidate
Recent progress in metal–organic complexes for optoelectronic applications,2014,10.1039/c3cs60449g,https://openalex.org/W2171635616,1126,True,https://pubs.rsc.org/en/content/articlepdf/2014/cs/c3cs60449g,https://doi.org/10.1039/c3cs60449g,Chemical Society Reviews,pdf_downloaded
End-to-end design of wearable sensors,2022,10.1038/s41578-022-00460-x,https://openalex.org/W4286560842,1034,True,https://www.nature.com/articles/s41578-022-00460-x.pdf,https://doi.org/10.1038/s41578-022-00460-x,Nature Reviews Materials,pdf_downloaded
Metal oxide nanoparticles and their applications in nanotechnology,2019,10.1007/s42452-019-0592-3,https://openalex.org/W2944906172,1001,True,https://link.springer.com/content/pdf/10.1007/s42452-019-0592-3.pdf,https://doi.org/10.1007/s42452-019-0592-3,SN Applied Sciences,pdf_downloaded
Efficient green light-emitting diodes based on quasi-two-dimensional composition and phase engineered perovskite with surface passivation,2018,10.1038/s41467-018-02978-7,https://openalex.org/W2800279715,979,True,https://www.nature.com/articles/s41467-018-02978-7.pdf,https://doi.org/10.1038/s41467-018-02978-7,Nature Communications,pdf_downloaded
Covalent organic frameworks: an ideal platform for designing ordered materials and advanced applications,2020,10.1039/d0cs00620c,https://openalex.org/W3111457036,978,True,https://pubs.rsc.org/en/content/articlepdf/2021/cs/d0cs00620c,https://doi.org/10.1039/d0cs00620c,Chemical Society Reviews,pdf_downloaded
