title,year,doi,openalex_id,cited_by,is_oa,pdf_url,landing_url,venue,doi_key,title_norm,citation_score,recency_score,kw_score_raw,kw_score,gold_probability,cluster3_probability,ml_match_gold,ml_match_cluster,ml_score_gold,ml_score_cluster3,ml_score_total,final_score
Universal passivation strategy to slot-die printed SnO2 for hysteresis-free efficient flexible perovskite solar module,2018,10.1038/s41467-018-07099-9,https://openalex.org/W2898941509,804,True,https://www.nature.com/articles/s41467-018-07099-9.pdf,https://doi.org/10.1038/s41467-018-07099-9,Nature Communications,10.1038s41467-018-07099-9,universal passivation strategy to slot die printed sno2 for hysteresis free efficient flexible perovskite solar module,33.45421138709282,0.3,4.0,8.0,0.8494148114777279,0.5997817297307071,doi_key,doi_key,10.192977737732734,4.798253837845657,14.991231575578391,56.745442962671206
High-quality bulk hybrid perovskite single crystals within minutes by inverse temperature crystallization,2015,10.1038/ncomms8586,https://openalex.org/W773815729,1843,True,https://www.nature.com/articles/ncomms8586.pdf,https://doi.org/10.1038/ncomms8586,Nature Communications,10.1038ncomms8586,high quality bulk hybrid perovskite single crystals within minutes by inverse temperature crystallization,37.598462020582694,0.0,0.0,0.0,0.933334316787544,0.6139142510137815,doi_key,doi_key,11.200011801450527,4.911314008110252,16.11132580956078,53.70978783014347
High efficiency planar-type perovskite solar cells with negligible hysteresis using EDTA-complexed SnO2,2018,10.1038/s41467-018-05760-x,https://openalex.org/W2885088646,1367,True,https://www.nature.com/articles/s41467-018-05760-x.pdf,https://doi.org/10.1038/s41467-018-05760-x,Nature Communications,10.1038s41467-018-05760-x,high efficiency planar type perovskite solar cells with negligible hysteresis using edta complexed sno2,36.10552549091248,0.3,0.0,0.0,0.9190039118722528,0.7158787835337609,doi_key,doi_key,11.028046942467034,5.727030268270087,16.75507721073712,53.160602701649594
Strain engineering in perovskite solar cells and its impacts on carrier dynamics,2019,10.1038/s41467-019-08507-4,https://openalex.org/W2912153941,974,True,https://www.nature.com/articles/s41467-019-08507-4.pdf,https://doi.org/10.1038/s41467-019-08507-4,Nature Communications,10.1038s41467-019-08507-4,strain engineering in perovskite solar cells and its impacts on carrier dynamics,34.412187354989236,0.4,0.0,0.0,0.8757661224446602,0.9466359715292468,doi_key,doi_key,10.509193469335923,7.573087772233975,18.0822812415699,52.894468596559136
Efficient green light-emitting diodes based on quasi-two-dimensional composition and phase engineered perovskite with surface passivation,2018,10.1038/s41467-018-02978-7,https://openalex.org/W2800279715,979,True,https://www.nature.com/articles/s41467-018-02978-7.pdf,https://doi.org/10.1038/s41467-018-02978-7,Nature Communications,10.1038s41467-018-02978-7,efficient green light emitting diodes based on quasi two dimensional composition and phase engineered perovskite with surface passivation,34.43776285832308,0.3,0.0,0.0,0.841715353819972,0.4616309090797399,doi_key,doi_key,10.100584245839663,3.6930472726379193,13.793631518477582,48.53139437680066
Van der Waals integration before and beyond two-dimensional materials,2019,10.1038/s41586-019-1013-x,https://openalex.org/W2925217409,1442,True,https://www.nature.com/articles/s41586-019-1013-x.pdf,https://doi.org/10.1038/s41586-019-1013-x,Nature,10.1038s41586-019-1013-x,van der waals integration before and beyond two dimensional materials,36.372397793869354,0.4,0.0,0.0,0.7039203103013224,0.3961525551126144,doi_key,doi_key,8.447043723615868,3.169220440900915,11.616264164516783,48.38866195838614
Molecular doping enabled scalable blading of efficient hole-transport-layer-free perovskite solar cells,2018,10.1038/s41467-018-04028-8,https://openalex.org/W4239574994,413,True,https://www.nature.com/articles/s41467-018-04028-8.pdf,https://doi.org/10.1038/s41467-018-04028-8,Nature Communications,10.1038s41467-018-04028-8,molecular doping enabled scalable blading of efficient hole transport layer free perovskite solar cells,30.129329869126572,0.3,1.0,2.0,0.6776668015352727,0.93611032512888,doi_key,doi_key,8.132001618423272,7.48888260103104,15.620884219454313,48.05021408858089
Perovskite-polymer composite cross-linker approach for highly-stable and efficient perovskite solar cells,2019,10.1038/s41467-019-08455-z,https://openalex.org/W2914692117,562,True,https://www.nature.com/articles/s41467-019-08455-z.pdf,https://doi.org/10.1038/s41467-019-08455-z,Nature Communications,10.1038s41467-019-08455-z,perovskite polymer composite cross linker approach for highly stable and efficient perovskite solar cells,31.666398140698455,0.4,2.0,4.0,0.7480234726291148,0.3418198309274644,doi_key,doi_key,8.976281671549378,2.734558647419715,11.710840318969094,47.777238459667544
Understanding how excess lead iodide precursor improves halide perovskite solar cell performance,2018,10.1038/s41467-018-05583-w,https://openalex.org/W2886506777,369,True,https://www.nature.com/articles/s41467-018-05583-w.pdf,https://doi.org/10.1038/s41467-018-05583-w,Nature Communications,10.1038s41467-018-05583-w,understanding how excess lead iodide precursor improves halide perovskite solar cell performance,29.567515028191348,0.3,2.0,4.0,0.7424528169788642,0.5977419760883437,doi_key,doi_key,8.90943380374637,4.781935808706749,13.69136961245312,47.558884640644465
Highly efficient planar perovskite solar cells through band alignment engineering,2015,10.1039/c5ee02608c,https://openalex.org/W1941396097,1234,True,https://pubs.rsc.org/en/content/articlepdf/2015/ee/c5ee02608c,https://doi.org/10.1039/c5ee02608c,Energy & Environmental Science,10.1039c5ee02608c,highly efficient planar perovskite solar cells through band alignment engineering,35.59413124531039,0.0,0.0,0.0,0.7701632096658392,0.2473257990348657,doi_key,doi_key,9.24195851599007,1.9786063922789257,11.220564908268996,46.81469615357939
