title,year,doi,openalex_id,cited_by,is_oa,pdf_url,landing_url,venue,doi_key,title_norm,citation_score,recency_score,kw_score_raw,kw_score,gold_probability,cluster3_probability,ml_match_gold,ml_match_cluster,ml_score_gold,ml_score_cluster3,ml_score_total,final_score,pdf_file,status,final_url
Universal passivation strategy to slot-die printed SnO2 for hysteresis-free efficient flexible perovskite solar module,2018,10.1038/s41467-018-07099-9,https://openalex.org/W2898941509,804,True,https://www.nature.com/articles/s41467-018-07099-9.pdf,https://doi.org/10.1038/s41467-018-07099-9,Nature Communications,10.1038s41467-018-07099-9,universal passivation strategy to slot die printed sno2 for hysteresis free efficient flexible perovskite solar module,33.45421138709282,0.3,4.0,8.0,0.8480702565169255,0.7607945184862706,doi_key,doi_key,10.176843078203106,6.086356147890164,16.26319922609327,58.01741061318609,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-07099-9_Universal_passivation_strategy_to_slot-die_printed_SnO2_for_hysteresis-free_efficient_flexible_perovskite_sol.pdf,downloaded_pdf,https://www.nature.com/articles/s41467-018-07099-9.pdf
High-quality bulk hybrid perovskite single crystals within minutes by inverse temperature crystallization,2015,10.1038/ncomms8586,https://openalex.org/W773815729,1843,True,https://www.nature.com/articles/ncomms8586.pdf,https://doi.org/10.1038/ncomms8586,Nature Communications,10.1038ncomms8586,high quality bulk hybrid perovskite single crystals within minutes by inverse temperature crystallization,37.59846202058269,0.0,0.0,0.0,0.9322101834216026,0.6501844697587964,doi_key,doi_key,11.18652220105923,5.201475758070371,16.3879979591296,53.98645997971229,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2015_10.1038ncomms8586_High-quality_bulk_hybrid_perovskite_single_crystals_within_minutes_by_inverse_temperature_crystallization.pdf,downloaded_pdf,https://www.nature.com/articles/ncomms8586.pdf
High efficiency planar-type perovskite solar cells with negligible hysteresis using EDTA-complexed SnO2,2018,10.1038/s41467-018-05760-x,https://openalex.org/W2885088646,1367,True,https://www.nature.com/articles/s41467-018-05760-x.pdf,https://doi.org/10.1038/s41467-018-05760-x,Nature Communications,10.1038s41467-018-05760-x,high efficiency planar type perovskite solar cells with negligible hysteresis using edta complexed sno2,36.10552549091248,0.3,0.0,0.0,0.9181199798419922,0.7572022922560828,doi_key,doi_key,11.017439758103906,6.057618338048663,17.075058096152567,53.48058358706504,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05760-x_High_efficiency_planar-type_perovskite_solar_cells_with_negligible_hysteresis_using_EDTA-complexed_SnO2.pdf,downloaded_pdf,https://www.nature.com/articles/s41467-018-05760-x.pdf
Strain engineering in perovskite solar cells and its impacts on carrier dynamics,2019,10.1038/s41467-019-08507-4,https://openalex.org/W2912153941,974,True,https://www.nature.com/articles/s41467-019-08507-4.pdf,https://doi.org/10.1038/s41467-019-08507-4,Nature Communications,10.1038s41467-019-08507-4,strain engineering in perovskite solar cells and its impacts on carrier dynamics,34.41218735498924,0.4,0.0,0.0,0.8731812587137943,0.9446767810323912,doi_key,doi_key,10.478175104565532,7.557414248259129,18.035589352824665,52.84777670781389,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08507-4_Strain_engineering_in_perovskite_solar_cells_and_its_impacts_on_carrier_dynamics.pdf,downloaded_pdf,https://www.nature.com/articles/s41467-019-08507-4.pdf
Van der Waals integration before and beyond two-dimensional materials,2019,10.1038/s41586-019-1013-x,https://openalex.org/W2925217409,1442,True,https://www.nature.com/articles/s41586-019-1013-x.pdf,https://doi.org/10.1038/s41586-019-1013-x,Nature,10.1038s41586-019-1013-x,van der waals integration before and beyond two dimensional materials,36.37239779386936,0.4,0.0,0.0,0.7018406323443479,0.5197969788284573,doi_key,doi_key,8.422087588132175,4.158375830627659,12.580463418759834,49.35286121262919,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41586-019-1013-x_Van_der_Waals_integration_before_and_beyond_two-dimensional_materials.pdf,downloaded_pdf,https://www.nature.com/articles/s41586-019-1013-x.pdf
Efficient green light-emitting diodes based on quasi-two-dimensional composition and phase engineered perovskite with surface passivation,2018,10.1038/s41467-018-02978-7,https://openalex.org/W2800279715,979,True,https://www.nature.com/articles/s41467-018-02978-7.pdf,https://doi.org/10.1038/s41467-018-02978-7,Nature Communications,10.1038s41467-018-02978-7,efficient green light emitting diodes based on quasi two dimensional composition and phase engineered perovskite with surface passivation,34.43776285832308,0.3,0.0,0.0,0.8415704393472043,0.5164842468366303,doi_key,doi_key,10.098845272166452,4.131873974693042,14.230719246859492,48.968482105182574,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-02978-7_Efficient_green_light-emitting_diodes_based_on_quasi-two-dimensional_composition_and_phase_engineered_perovsk.pdf,downloaded_pdf,https://www.nature.com/articles/s41467-018-02978-7.pdf
Perovskite-polymer composite cross-linker approach for highly-stable and efficient perovskite solar cells,2019,10.1038/s41467-019-08455-z,https://openalex.org/W2914692117,562,True,https://www.nature.com/articles/s41467-019-08455-z.pdf,https://doi.org/10.1038/s41467-019-08455-z,Nature Communications,10.1038s41467-019-08455-z,perovskite polymer composite cross linker approach for highly stable and efficient perovskite solar cells,31.66639814069845,0.4,2.0,4.0,0.7468281244816555,0.3972299161446564,doi_key,doi_key,8.961937493779866,3.177839329157252,12.139776822937115,48.20617496363557,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2019_10.1038s41467-019-08455-z_Perovskite-polymer_composite_cross-linker_approach_for_highly-stable_and_efficient_perovskite_solar_cells.pdf,downloaded_pdf,https://www.nature.com/articles/s41467-019-08455-z.pdf
Molecular doping enabled scalable blading of efficient hole-transport-layer-free perovskite solar cells,2018,10.1038/s41467-018-04028-8,https://openalex.org/W4239574994,413,True,https://www.nature.com/articles/s41467-018-04028-8.pdf,https://doi.org/10.1038/s41467-018-04028-8,Nature Communications,10.1038s41467-018-04028-8,molecular doping enabled scalable blading of efficient hole transport layer free perovskite solar cells,30.12932986912657,0.3,1.0,2.0,0.677448874545084,0.9339950332464876,doi_key,doi_key,8.129386494541007,7.471960265971901,15.601346760512907,48.03067662963949,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-04028-8_Molecular_doping_enabled_scalable_blading_of_efficient_hole-transport-layer-free_perovskite_solar_cells.pdf,downloaded_pdf,https://www.nature.com/articles/s41467-018-04028-8.pdf
Understanding how excess lead iodide precursor improves halide perovskite solar cell performance,2018,10.1038/s41467-018-05583-w,https://openalex.org/W2886506777,369,True,https://www.nature.com/articles/s41467-018-05583-w.pdf,https://doi.org/10.1038/s41467-018-05583-w,Nature Communications,10.1038s41467-018-05583-w,understanding how excess lead iodide precursor improves halide perovskite solar cell performance,29.567515028191348,0.3,2.0,4.0,0.741385409422035,0.5695409640421308,doi_key,doi_key,8.89662491306442,4.556327712337047,13.452952625401466,47.320467653592814,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2018_10.1038s41467-018-05583-w_Understanding_how_excess_lead_iodide_precursor_improves_halide_perovskite_solar_cell_performance.pdf,downloaded_pdf,https://www.nature.com/articles/s41467-018-05583-w.pdf
Ultra-bright and highly efficient inorganic based perovskite light-emitting diodes,2017,10.1038/ncomms15640,https://openalex.org/W2623955189,843,True,https://www.nature.com/articles/ncomms15640.pdf,https://doi.org/10.1038/ncomms15640,Nature Communications,10.1038ncomms15640,ultra bright and highly efficient inorganic based perovskite light emitting diodes,33.690762472979785,0.2,0.0,0.0,0.8361412937551609,0.3792178477721257,doi_key,doi_key,10.03369552506193,3.033742782177005,13.067438307238936,46.958200780218725,C:\Users\inkjet\perovskite_ink_scraper\pdfs\2017_10.1038ncomms15640_Ultra-bright_and_highly_efficient_inorganic_based_perovskite_light-emitting_diodes.pdf,downloaded_pdf,https://www.nature.com/articles/ncomms15640.pdf
